Model	Overall	Easy	Hard	Short	Medium	Long
Llama-3.1-8B-Instruct_quest_tb1024_ps16	29.8	31.8	28.6	36.1	28.4	22.2
Llama-3.1-8B-Instruct_quest_tb1024_ps16_topp0.5	28.0	28.8	27.5	33.9	25.6	22.8
Llama-3.1-8B-Instruct	31.2	29.2	32.5	38.3	27.4	26.9
Llama-3.1-8B-Instruct_quest_tb1024_ps16_topp0.7	29.8	32.5	28.2	36.1	25.6	27.7
Llama-3.1-8B-Instruct_quest_tb512_ps16	26.8	28.1	26.0	35.0	24.2	18.5
Llama-3.1-8B-Instruct_quest_tb2048_ps16	30.2	35.1	27.2	36.1	29.3	21.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16	28.2	30.4	26.9	36.1	23.3	24.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16_topp0.1	29.8	31.4	28.9	37.2	28.4	19.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16_topp0.2	27.8	29.8	26.6	35.6	23.3	23.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16_topp0.3	28.0	23.0	31.1	32.2	26.5	23.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16_topp0.4	30.6	33.5	28.9	34.4	30.2	24.8
Llama-3.1-8B-Instruct_quest_tb4096_ps16_topp0.5	30.0	30.9	29.5	35.0	27.0	27.7
